Similarity Far - 2006,Similarity Far - 2007,Similarity Far - 2008,Similarity Far - 2009,Similarity Far - 2010,Similarity Far - 2011,Similarity Far - 2012,Similarity Far - 2013,Similarity Far - 2014,Similarity Far - 2015,Similarity Far - 2016,Similarity Far - 2017
6.794621582993112e-05,0.0002198802456439875,6.767274481129163e-05,6.530217148815426e-05,0.001,0.00023031015665430174,0.0003863401251486818,0.00033062725787180524,0.00016383513247585587,0.00062081360775633,0.0002434846550957935,0.0002175330265823067
0.0003037588520472074,0.0002726744540304658,0.0004193125310998175,0.001,0.00037821927605208566,0.00023997415804223327,0.0003919974775861264,0.00028359434956195525,0.00016383513247585587,0.00062081360775633,0.0002434846550957935,0.0004940561586319411
0.00030378410911189164,0.0002726744540304658,0.0004193125310998175,0.0003919974775861264,0.001,0.00023031015665430174,0.001,0.00028359434956195525,0.00016131006873216358,0.00062081360775633,0.0002434846550957935,0.0004940561586319411
0.00040348152017691583,0.00032543016925818416,0.0004193125310998175,0.001,0.0006543129282049419,0.0003863401251486818,0.001,0.00062081360775633,0.00016383513247585587,0.001,0.00023106880051763145,0.0002175330265823067
0.00030378410911189164,0.0003647144502395933,0.0004193125310998175,0.0005462318228260857,0.0005462318228260857,0.0003863401251486818,0.001,0.00033062725787180524,0.00014933422773786501,0.00028359434956195525,0.001,0.0004940561586319411
0.00040348152017691583,0.0002726744540304658,0.0004193125310998175,0.001,0.00033062725787180524,0.00023997415804223327,7.186409025522228e-05,0.00062081360775633,0.00016383513247585587,0.00014933422773786501,0.0002434846550957935,0.00025727674565151554
6.794621582993112e-05,7.545846216059496e-05,6.767274481129163e-05,0.0003079427688138343,0.0004266622750720192,0.00040380536079289196,0.0005803524247538669,0.00028359434956195525,0.00016383513247585587,0.00062081360775633,0.001,0.0002175330265823067
6.794621582993112e-05,7.545846216059496e-05,6.767274481129163e-05,6.530217148815426e-05,0.0002142031036661315,0.00012669027925506294,0.00048768327074384194,0.0006543129282049419,0.00016383513247585587,0.00028359434956195525,5.827492064441973e-05,6.738210505573146e-05
0.0003037588520472074,0.00044290893370966573,0.0004193125310998175,0.001,0.001,0.00040380536079289196,0.0005803524247538669,0.00028359434956195525,0.00016383513247585587,0.00062081360775633,0.001,0.0002175330265823067
0.0003037588520472074,0.0002726744540304658,0.0004193125310998175,0.001,0.001,0.0003863401251486818,0.0005803524247538669,0.00028359434956195525,0.00016383513247585587,0.00062081360775633,0.0002434846550957935,0.0004940561586319411
6.794621582993112e-05,0.0003402124715039409,0.0003094621622575861,6.530217148815426e-05,0.001,0.00023262981290925915,0.001,0.0006543129282049419,0.00016383513247585587,0.00062081360775633,0.00022250066669567814,0.0002175330265823067
6.794621582993112e-05,0.0003647144502395933,0.001,0.0003919974775861264,0.001,0.0003863401251486818,0.001,0.00033062725787180524,0.00016383513247585587,0.00062081360775633,0.0002434846550957935,0.0002175330265823067
6.794621582993112e-05,7.545846216059496e-05,6.767274481129163e-05,0.0002894350802325228,6.530217148815426e-05,0.00035638720744305346,0.0003863401251486818,0.00033062725787180524,0.00011246518706915974,0.00028359434956195525,0.001,6.738210505573146e-05
6.794621582993112e-05,0.0002726744540304658,0.0005374859062897355,0.001,0.001,0.00023031015665430174,0.0005803524247538669,0.00033062725787180524,0.00016383513247585587,0.00062081360775633,0.0002434846550957935,0.0004940561586319411
0.0003629715561884841,0.0002198802456439875,6.767274481129163e-05,0.0004193125310998175,0.0002142031036661315,0.0003390258838344902,0.0005803524247538669,0.00033062725787180524,0.00010395078729144813,6.530217148815426e-05,0.001,0.00041539034564208794
6.794621582993112e-05,6.794621582993112e-05,0.0003390258838344902,0.0005992687940362612,0.0003065884954459566,0.00035601117300646114,7.014296324038125e-05,0.001,0.001,0.00016383513247585587,0.00030142291264064684,0.0002926598252158689
8.31356973657394e-05,6.794621582993112e-05,7.955458755764386e-05,0.0003711449208679239,9.239650851997678e-05,6.530217148815426e-05,7.014296324038125e-05,0.00021127443045859041,0.001,0.00016383513247585587,0.0002563303681489557,0.00022406252671832455
