location 1,location 2,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,Belgium,0.001,0.0002198802456439875,0.0002126801549024901,0.0005379003058335826,0.0004193125310998175,0.00024226126049912907,0.0007212438299094976,0.00014933422773786501,0.00016383513247585587,0.00014933422773786501,0.0001888966228685647,0.00030831700402081857
Australia,Brazil,0.00015896312409084245,0.0002513996806951106,0.0009093659074501768,6.530217148815426e-05,6.530217148815426e-05,0.00021080991688171878,7.186409025522228e-05,0.00033062725787180524,0.00016293360218870077,0.0004266622750720192,0.00018982915715412595,0.001
Australia,Canada,0.0003037588520472074,0.0002726744540304658,0.0004193125310998175,0.001,0.001,0.00024226126049912907,0.0005803524247538669,0.00062081360775633,0.001,0.00028359434956195525,0.0002434846550957935,0.0002175330265823067
Australia,Croatia,6.794621582993112e-05,7.545846216059496e-05,6.767274481129163e-05,7.857159058625125e-05,0.00012976936045635534,0.00010011323948737634,7.186409025522228e-05,0.00012976936045635534,0.00014933422773786501,0.001,0.00028359434956195525,0.0008702706706116824
Australia,Denmark,0.0002198802456439875,0.0003647144502395933,0.0003039698704315627,0.0003079427688138343,0.0005327635984626993,0.00023031015665430174,0.001,0.00014933422773786501,0.001,0.00014933422773786501,0.00022250066669567814,0.00015750424873755783
Australia,England,0.0003779656516125209,0.00035526411965481117,0.0009093659074501768,0.0003079427688138343,0.0003079427688138343,0.00024226126049912907,0.00046595947747259906,0.00028359434956195525,0.00022406252671832455,0.00028359434956195525,0.00011246518706915974,0.0002699811419464455
Australia,Finland,0.000657421870388008,0.0002198802456439875,0.0009093659074501768,0.00040270190772325544,0.0003079427688138343,0.0003859586118410843,0.00048768327074384194,0.0003919974775861264,0.001,0.00028359434956195525,0.00018200688199672554,0.00030831700402081857
Australia,France,6.794621582993112e-05,0.00010593870934821451,6.767274481129163e-05,6.530217148815426e-05,0.0002142031036661315,7.955458755764386e-05,0.0003919974775861264,0.0005070185060284558,0.00022245505620075595,0.00028359434956195525,0.001,8.086459778245371e-05
Australia,Germany,0.0009093659074501768,0.0004902747284668024,0.0002126801549024901,0.00040270190772325544,0.001,0.00024226126049912907,0.0003863401251486818,0.0003919974775861264,0.001,0.00014933422773786501,0.001,0.00030831700402081857
Australia,Iceland,6.794621582993112e-05,0.0002419464537877552,6.767274481129163e-05,0.00024215625689869325,0.00024215625689869325,7.955458755764386e-05,0.00012012435127196523,0.00040270190772325544,0.00015813831778429497,0.00040270190772325544,0.0002175330265823067,0.000227882823790595
Australia,Ireland,0.00012827724684882254,7.545846216059496e-05,0.0009093659074501768,0.00040270190772325544,6.530217148815426e-05,0.0002126801549024901,0.0003919974775861264,0.001,0.00022245505620075595,0.00024226126049912907,0.0002175330265823067,0.00016515125863511914
Australia,Italy,6.794621582993112e-05,7.545846216059496e-05,0.00022277823825640167,0.001,0.00040270190772325544,0.00021080991688171878,0.0003863401251486818,0.001,0.00014933422773786501,0.00028359434956195525,0.00011246518706915974,8.086459778245371e-05
Australia,Luxembourg,6.794621582993112e-05,7.545846216059496e-05,6.767274481129163e-05,0.00040270190772325544,6.530217148815426e-05,7.955458755764386e-05,7.186409025522228e-05,7.857159058625125e-05,0.00014169333933960977,0.00012976936045635534,9.034741818400322e-05,6.738210505573146e-05
Australia,Netherlands,0.001,0.0002513996806951106,0.0009093659074501768,0.00040270190772325544,0.0003079427688138343,0.00035638720744305346,0.0007212438299094976,0.0002712238206353177,0.00016383513247585587,0.00062081360775633,0.0002050767560003099,0.0002175330265823067
Australia,New Zealand,6.794621582993112e-05,7.545846216059496e-05,6.767274481129163e-05,0.00040270190772325544,0.001,0.00021080991688171878,0.0003094621622575861,0.00040270190772325544,0.00015897619926928937,0.00040270190772325544,0.000207139319514236,0.0008014762789264657
Australia,Northern Ireland,6.794621582993112e-05,7.545846216059496e-05,0.00015663597458761105,0.00040270190772325544,7.857159058625125e-05,0.00021080991688171878,0.0003037588520472074,0.00012976936045635534,9.957279866801471e-05,6.530217148815426e-05,5.827492064441973e-05,0.00012500456004139624
Australia,Norway,0.0009093659074501768,0.001,0.0003039698704315627,0.0002142031036661315,0.0003079427688138343,0.0002126801549024901,0.00018511026271499895,0.0003919974775861264,0.001,0.00028359434956195525,0.00011246518706915974,0.00030831700402081857
Australia,Poland,0.00015896312409084245,7.545846216059496e-05,6.767274481129163e-05,6.530217148815426e-05,6.530217148815426e-05,7.955458755764386e-05,7.186409025522228e-05,0.0004825240504809423,0.00022406252671832455,0.00014933422773786501,0.00021283939605191697,0.0005900794975539359
Australia,Scotland,6.794621582993112e-05,7.545846216059496e-05,6.767274481129163e-05,0.00012976936045635534,6.530217148815426e-05,0.00024226126049912907,0.00048768327074384194,0.00040270190772325544,0.00011246518706915974,0.00014933422773786501,0.00018200688199672554,0.0002175330265823067
Australia,Spain,6.794621582993112e-05,7.545846216059496e-05,6.767274481129163e-05,0.00040270190772325544,0.00040270190772325544,0.00012669027925506294,8.90692730990721e-05,0.00044231293114733875,0.00021225448986274175,0.00028359434956195525,0.0002434846550957935,0.001
Australia,Sweden,0.0006669766456318304,0.00024577335101649145,0.0003039698704315627,0.0003079427688138343,0.0003079427688138343,0.0003859586118410843,0.001,0.00014933422773786501,0.00016383513247585587,0.00014933422773786501,0.00011246518706915974,0.00015750424873755783
Australia,"United States, Alabama",0.00021080991688171878,0.0002726744540304658,6.767274481129163e-05,0.0005017197543393124,0.0004266622750720192,7.955458755764386e-05,7.186409025522228e-05,0.00062081360775633,0.00011246518706915974,0.00062081360775633,0.001,0.0008702706706116824
Australia,"United States, Alaska",6.794621582993112e-05,0.0002198802456439875,0.0009093659074501768,0.00040270190772325544,0.00040270190772325544,0.001,0.00018511026271499895,0.00035601117300646114,0.00022406252671832455,0.00031712816354254427,0.00020188785453379866,0.0007793859644558072
Australia,"United States, Arizona",0.00021080991688171878,0.0002726744540304658,0.0004193125310998175,0.001,0.001,0.00010011323948737634,0.0003919974775861264,0.00028359434956195525,0.00016383513247585587,0.00011112598136739265,0.00011246518706915974,0.00015750424873755783
Australia,"United States, Arkansas",6.794621582993112e-05,7.931154639620241e-05,0.0002126801549024901,0.00040270190772325544,0.0004193125310998175,7.955458755764386e-05,7.186409025522228e-05,6.530217148815426e-05,0.00021127443045859041,0.00014933422773786501,0.0002434846550957935,6.738210505573146e-05
Australia,"United States, California",0.0003023285211812307,0.0002726744540304658,0.0004193125310998175,0.001,0.00011112598136739265,7.955458755764386e-05,0.00018511026271499895,0.00014933422773786501,0.00016383513247585587,0.00062081360775633,0.0002434846550957935,0.00038589097034412206
Australia,"United States, Colorado",6.794621582993112e-05,0.0002726744540304658,0.0004193125310998175,0.001,0.001,7.955458755764386e-05,7.186409025522228e-05,0.00028359434956195525,0.00010395078729144813,0.001,0.00021956322843244403,0.001
Australia,"United States, Connecticut",6.794621582993112e-05,0.0003647144502395933,0.001,0.0003919974775861264,0.001,0.0003863401251486818,0.001,0.00033062725787180524,0.00016383513247585587,0.00062081360775633,0.0002434846550957935,0.0002175330265823067
Australia,"United States, Delaware",6.794621582993112e-05,7.545846216059496e-05,6.767274481129163e-05,6.530217148815426e-05,0.0002142031036661315,0.00012669027925506294,0.00048768327074384194,0.0006543129282049419,0.00016383513247585587,0.00028359434956195525,5.827492064441973e-05,6.738210505573146e-05
Australia,"United States, Florida",0.0003023285211812307,0.0002726744540304658,0.0003094621622575861,0.001,0.00011112598136739265,0.0003863401251486818,0.0005803524247538669,0.001,0.00016383513247585587,0.00062081360775633,0.0002434846550957935,0.0004940561586319411
Australia,"United States, Georgia",6.794621582993112e-05,0.0002726744540304658,0.0003094621622575861,0.001,0.001,0.00023031015665430174,0.0003919974775861264,0.001,0.00014933422773786501,0.00028359434956195525,0.0002434846550957935,0.0004940561586319411
Australia,"United States, Hawaii",6.794621582993112e-05,0.00040776782224840946,0.00025169667429377103,6.530217148815426e-05,6.530217148815426e-05,0.001,7.186409025522228e-05,7.857159058625125e-05,0.001,6.530217148815426e-05,5.827492064441973e-05,0.0008014762789264657
Australia,"United States, Idaho",6.794621582993112e-05,0.0002726744540304658,0.0002126801549024901,0.001,6.530217148815426e-05,0.001,7.186409025522228e-05,0.0005184385495602562,0.00015207483998764802,0.00062081360775633,0.001,0.00015750424873755783
Australia,"United States, Illinois",0.0003037588520472074,0.0002726744540304658,0.0004193125310998175,0.001,0.001,0.00040380536079289196,0.00010735222030768239,0.00014933422773786501,0.00016383513247585587,0.001,0.001,0.0002175330265823067
Australia,"United States, Indiana",6.794621582993112e-05,0.0002726744540304658,0.0004193125310998175,0.001,0.001,7.955458755764386e-05,0.0003919974775861264,0.001,0.00016383513247585587,0.001,0.0002434846550957935,8.492478831611032e-05
Australia,"United States, Iowa",0.00031377276129176057,0.0002726744540304658,0.0004193125310998175,6.530217148815426e-05,6.530217148815426e-05,0.00024226126049912907,0.0005803524247538669,0.001,0.001,0.00014933422773786501,0.00011246518706915974,0.0005900794975539359
Australia,"United States, Kansas",6.794621582993112e-05,0.0003647144502395933,0.0002379891459205708,6.530217148815426e-05,0.0002142031036661315,0.00035638720744305346,0.001,0.00033062725787180524,0.00014933422773786501,6.530217148815426e-05,0.000274653626764643,6.738210505573146e-05
Australia,"United States, Kentucky",6.794621582993112e-05,7.545846216059496e-05,0.0004193125310998175,0.001,0.0006543129282049419,0.00018296024296668954,0.001,0.00028359434956195525,0.00018511026271499895,0.00062081360775633,0.0002434846550957935,0.0002175330265823067
